统计日期,PC端访客数,PC端浏览量,访客数,无线端访客数,浏览量,无线端浏览量,商品访客数,无线端商品访客数,PC端商品访客数,商品浏览量,无线端商品浏览量,PC端商品浏览量,平均停留时长,无线端平均停留时长,PC端平均停留时长,跳失率,无线端跳失率,PC端跳失率,商品收藏买家数,无线端商品收藏买家数,PC端商品收藏买家数,商品收藏次数,无线端商品收藏次数,PC端商品收藏次数,加购人数,无线端加购人数,PC端加购人数,支付金额,PC端支付金额,无线端支付金额,支付买家数,PC端支付买家数,无线端支付买家数,支付子订单数,PC端支付子订单数,无线端支付子订单数,支付件数,PC端支付件数,无线端支付件数,下单金额,PC端下单金额,无线端下单金额,下单买家数,PC端下单买家数,无线端下单买家数,下单件数,PC端下单件数,无线端下单件数,人均浏览量,PC端人均浏览量,无线端人均浏览量,下单转化率,PC端下单转化率,无线端下单转化率,支付转化率,PC端支付转化率,无线端支付转化率,客单价,PC端客单价,无线端客单价,UV价值,PC端UV价值,无线端UV价值,老访客数,新访客数,无线端老访客数,无线端新访客数,PC端老访客数,PC端新访客数,加购件数,PC端加购件数,无线端加购件数,支付老买家数,PC端支付老买家数,无线端支付老买家数,老买家支付金额,直通车消耗,钻石展位消耗,淘宝客佣金,成功退款金额,评价数,有图评价数,正面评价数,负面评价数,老买家正面评价数,老买家负面评价数,支付父订单数,揽收包裹数,发货包裹数,派送包裹数,签收成功包裹数,平均支付_签收时长(秒),描述相符评分,物流服务评分,服务态度评分,下单-支付转化率,PC端下单-支付转化率,无线端下单-支付转化率,支付商品数,PC端支付商品数,无线端支付商品数,店铺收藏买家数,PC端店铺收藏买家数,无线端店铺收藏买家数
2023-03-02,1,1,1,0,1,0,0,0,0,0,0,0,49.0,0.0,49.0,100.00%,0.00%,100.00%,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,0,0,0
2023-03-07,0,0,2,2,6,6,0,0,0,0,0,0,31.19,31.19,0.0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,3.0,0.0,3.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,0,0,0
2023-03-10,1,1,1,0,1,0,0,0,0,0,0,0,5.0,0.0,5.0,100.00%,0.00%,100.00%,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,0,0,0
2023-03-13,1,1,1,0,1,0,0,0,0,0,0,0,5.0,0.0,5.0,100.00%,0.00%,100.00%,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,0,0,0
2023-03-16,1,1,1,0,1,0,0,0,0,0,0,0,6.0,0.0,6.0,100.00%,0.00%,100.00%,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,0,0,0
2023-03-17,1,2,4,3,50,48,3,2,1,41,39,2,26.99,26.78,32.0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,12.5,2.0,16.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,3,0,1,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,0,0,0
2023-03-20,4,34,33,29,585,551,28,25,3,161,149,12,26.17,16.65,180.47,15.15%,17.24%,0.00%,1,1,0,1,1,0,9,9,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,17.73,8.5,19.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,2,31,2,27,0,4,13,0,13,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,10,0,10
2023-03-21,1,3,53,53,417,414,41,41,1,180,179,1,14.12,11.55,369.0,16.98%,16.98%,0.00%,2,2,0,2,2,0,12,12,0,200.00,0.0,200.00,1,0,1,1,0,1,1,0,1,183.31,0.0,183.31,1,0,1,1,0,1,7.87,3.0,7.81,1.89%,0.00%,1.89%,1.89%,0.00%,1.89%,200.0,0.0,200.0,3.77,0.0,3.77,9,44,9,44,0,1,19,0,19,0,0,0,0.00,0.0,0.0,0.0,200.00,0,0,0,0,0,0,1,0,0,0,0,0.00,5.0,5.0,5.0,100.00%,0.00%,100.00%,1,0,1,6,0,6
2023-03-22,2,10,113,111,661,651,91,89,2,273,271,2,12.41,9.07,229.8,27.43%,27.03%,50.00%,7,7,0,11,11,0,27,27,0,0.00,0.0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.0,0.00,0,0,0,0,0,0,5.85,5.0,5.86,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,12,101,11,100,1,1,35,0,35,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,5.0,5.0,5.0,0.00%,0.00%,0.00%,0,0,0,22,0,22
2023-03-23,4,6,280,276,"1,210","1,204",260,256,4,770,765,5,8.11,7.94,41.67,52.14%,52.17%,50.00%,13,12,1,16,15,1,45,45,0,"1,570.00",0.0,"1,570.00",2,0,2,3,0,3,3,0,3,"1,293.48",0.0,"1,293.48",2,0,2,3,0,3,4.32,1.5,4.36,0.71%,0.00%,0.72%,0.71%,0.00%,0.72%,785.0,0.0,785.0,5.61,0.0,5.69,23,257,23,253,0,4,68,0,68,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,2,1,1,0,0,0.00,5.0,5.0,5.0,100.00%,0.00%,100.00%,3,0,3,14,0,14
