统计日期,终端类型,关键词,跳失率,引导支付金额,引导下单买家数,带来的访客数,下单转化率,引导支付件数,带来的浏览量
2023-03-20,无线端,sw19,40.00%,0.0,0,5,0.00%,0,47
2023-03-20,无线端,sw19 midnight,0.00%,0.0,0,2,0.00%,0,8
2023-03-20,无线端,sw19香水,0.00%,0.0,0,2,0.00%,0,8
2023-03-20,无线端,sw19香水midnight,100.00%,0.0,0,1,0.00%,0,1
2023-03-20,无线端,sw 19,0.00%,0.0,0,1,0.00%,0,52
2023-03-20,无线端,sw护手霜,0.00%,0.0,0,1,0.00%,0,5
2023-03-20,无线端,sw香水,0.00%,0.0,0,1,0.00%,0,2
2023-03-20,无线端,3pm,0.00%,0.0,0,1,0.00%,0,2
2023-03-21,无线端,sw19,0.00%,0.0,0,6,0.00%,0,108
2023-03-21,无线端,sw19香水3pm,50.00%,0.0,0,2,0.00%,0,4
2023-03-21,无线端,sw19香水,0.00%,0.0,0,2,0.00%,0,6
2023-03-21,无线端,sw19香水midnight,100.00%,0.0,0,1,0.00%,0,1
2023-03-21,无线端,sw19midnight,100.00%,0.0,0,1,0.00%,0,1
2023-03-21,无线端,sw19 3pm,100.00%,0.0,0,1,0.00%,0,1
2023-03-21,无线端,sw19护手霜,0.00%,200.0,1,1,100.00%,1,2
2023-03-21,无线端,sw护手霜,0.00%,0.0,0,1,0.00%,0,10
2023-03-21,无线端,noon香水,0.00%,0.0,0,1,0.00%,0,6
2023-03-22,无线端,sw19香水3pm,65.00%,0.0,0,20,0.00%,0,39
2023-03-22,无线端,sw19,42.86%,0.0,0,14,0.00%,0,34
2023-03-22,无线端,sw19 3pm,0.00%,0.0,0,3,0.00%,0,26
2023-03-22,无线端,sw19海外旗舰店,50.00%,0.0,0,2,0.00%,0,9
2023-03-22,无线端,sw19护手霜,50.00%,0.0,0,2,0.00%,0,8
2023-03-22,无线端,sw19 midnight,0.00%,0.0,0,2,0.00%,0,15
2023-03-22,无线端,3pm香水,0.00%,0.0,0,2,0.00%,0,12
2023-03-22,无线端,sw19香水,0.00%,0.0,0,2,0.00%,0,10
2023-03-22,无线端,sw 19,0.00%,0.0,0,1,0.00%,0,3
2023-03-23,无线端,sw19香水3pm,38.89%,0.0,0,18,0.00%,0,61
2023-03-23,无线端,sw19,14.29%,0.0,0,14,0.00%,0,92
2023-03-23,无线端,sw19香水,20.00%,0.0,0,5,0.00%,0,39
2023-03-23,无线端,sw19护手霜,20.00%,0.0,0,5,0.00%,0,33
2023-03-23,无线端,sw19身体乳,100.00%,0.0,0,1,0.00%,0,1
2023-03-23,无线端,sw香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-23,无线端,sw19海外旗舰店,0.00%,0.0,0,1,0.00%,0,15
2023-03-23,无线端,sw19韩国午后,0.00%,0.0,0,1,0.00%,0,13
2023-03-23,无线端,sw19 midnight沐浴露,0.00%,0.0,0,1,0.00%,0,7
2023-03-23,无线端,sw19旗舰店,0.00%,0.0,0,1,0.00%,0,7
2023-03-23,无线端,sw19睡眠喷雾,0.00%,0.0,0,1,0.00%,0,4
2023-03-23,无线端,sw19 3pm,0.00%,0.0,0,1,0.00%,0,4
2023-03-23,无线端,sw19 midnight,0.00%,0.0,0,1,0.00%,0,3
2023-03-23,无线端,3pm韩国,0.00%,0.0,0,1,0.00%,0,3
2023-03-23,无线端,3pm香水,0.00%,0.0,0,1,0.00%,0,2
2023-03-24,无线端,sw19,40.00%,0.0,0,5,0.00%,0,50
2023-03-24,无线端,sw19 3pm,66.67%,0.0,0,3,0.00%,0,5
2023-03-24,无线端,sw19香水3pm,33.33%,0.0,0,3,0.00%,0,12
2023-03-24,无线端,3pm香水,50.00%,0.0,0,2,0.00%,0,3
2023-03-24,无线端,sw香水,0.00%,0.0,0,2,0.00%,0,4
2023-03-24,无线端,sw19 护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-24,无线端,3pm护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-24,无线端,sw19护手霜,0.00%,0.0,0,1,0.00%,0,17
2023-03-24,无线端,sw19香水,0.00%,0.0,0,1,0.00%,0,8
2023-03-24,无线端,sw19香水midnight,0.00%,0.0,0,1,0.00%,0,6
2023-03-25,无线端,sw19护手霜,14.29%,0.0,0,7,0.00%,0,36
2023-03-25,无线端,sw19香水3pm,50.00%,0.0,0,6,0.00%,0,10
2023-03-25,无线端,sw19 3pm,33.33%,0.0,0,3,0.00%,0,5
2023-03-25,无线端,sw19沐浴露,100.00%,0.0,0,2,0.00%,0,2
2023-03-25,无线端,sw19,0.00%,0.0,0,2,0.00%,0,25
2023-03-25,无线端,香水am,100.00%,0.0,0,1,0.00%,0,1
2023-03-25,无线端,sw19 midnight,0.00%,0.0,0,1,0.00%,0,13
2023-03-25,无线端,sw19香水,0.00%,0.0,0,1,0.00%,0,13
2023-03-25,无线端,sw19香水midnight,0.00%,0.0,0,1,0.00%,0,7
2023-03-25,无线端,sw19海外旗舰店,0.00%,0.0,0,1,0.00%,0,5
2023-03-26,无线端,sw19香水3pm,66.67%,0.0,0,9,0.00%,0,20
2023-03-26,无线端,sw19,0.00%,0.0,0,6,0.00%,0,56
2023-03-26,无线端,sw19护手霜,100.00%,0.0,0,5,0.00%,0,5
2023-03-26,无线端,sw19 3pm,60.00%,0.0,0,5,0.00%,0,7
2023-03-26,无线端,uooop护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-26,无线端,莱珀妮护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-26,无线端,sw19香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-26,无线端,篝火香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-26,无线端,sw19-3pm,0.00%,0.0,0,1,0.00%,0,4
2023-03-27,无线端,sw19,22.73%,630.0,3,22,13.64%,2,124
2023-03-27,无线端,sw19香水3pm,54.55%,0.0,0,11,0.00%,0,25
2023-03-27,无线端,sw19香水,22.22%,0.0,0,9,0.00%,0,50
2023-03-27,无线端,sw19 3pm,50.00%,0.0,0,4,0.00%,0,10
2023-03-27,无线端,话梅harmay,50.00%,0.0,0,2,0.00%,0,4
2023-03-27,无线端,sw19护手霜,0.00%,140.0,1,2,50.00%,1,15
2023-03-27,无线端,chillnore护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-27,无线端,潘海利根香水皂,100.00%,0.0,0,1,0.00%,0,1
2023-03-27,无线端,sw19沐浴露,100.00%,0.0,0,1,0.00%,0,1
2023-03-27,无线端,果味香水扬州,100.00%,0.0,0,1,0.00%,0,1
2023-03-27,无线端,大牌香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-27,无线端,古特尔雨后清晨,0.00%,0.0,0,1,0.00%,0,9
2023-03-27,无线端,bk香水,0.00%,0.0,0,1,0.00%,0,6
2023-03-27,无线端,in the garden香水,0.00%,0.0,0,1,0.00%,0,3
2023-03-27,无线端,sw 3pm,0.00%,0.0,0,1,0.00%,0,3
2023-03-27,无线端,sw19身体乳,0.00%,0.0,0,1,0.00%,0,2
2023-03-28,无线端,sw19,29.73%,490.0,1,37,2.70%,1,207
2023-03-28,无线端,sw19香水,40.74%,980.0,1,27,3.70%,2,121
2023-03-28,无线端,sw19香水3pm,56.25%,0.0,0,16,0.00%,0,43
2023-03-28,无线端,3pm,100.00%,0.0,0,2,0.00%,0,2
2023-03-28,无线端,sw19 3pm,0.00%,0.0,0,2,0.00%,0,6
2023-03-28,无线端,沛纳海pm原装复古疯马,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,sw193pm,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,sw19小样,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,1969香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,颜料护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,椰子味香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,共用长椅子,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,suga,100.00%,0.0,0,1,0.00%,0,1
2023-03-28,无线端,sw19官方,0.00%,0.0,0,1,0.00%,0,12
2023-03-28,无线端,荒野森林 阿曼贝斯,0.00%,0.0,0,1,0.00%,0,5
2023-03-28,无线端,韩国香水水油分离,0.00%,0.0,0,1,0.00%,0,4
2023-03-28,无线端,韩国香水,0.00%,0.0,0,1,0.00%,0,3
2023-03-28,无线端,sw9香水,0.00%,0.0,0,1,0.00%,0,2
2023-03-29,无线端,sw19,30.43%,0.0,0,23,0.00%,0,115
2023-03-29,无线端,sw19香水,28.57%,490.0,1,21,4.76%,1,137
2023-03-29,无线端,sw19香水3pm,33.33%,0.0,0,3,0.00%,0,8
2023-03-29,无线端,sw19香水小样,100.00%,0.0,0,2,0.00%,0,2
2023-03-29,无线端,sw3pm,50.00%,0.0,0,2,0.00%,0,3
2023-03-29,无线端,sw19 midnight,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,greyground香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,604418103香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,kinfolk香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,sw19护手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,sw19 护手,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,saramj,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,护手霜迷你,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,sw身体乳,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,sw是什么,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,3pm香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,伊颂香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,sw香氛,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,手霜,100.00%,0.0,0,1,0.00%,0,1
2023-03-29,无线端,3pm,0.00%,0.0,0,1,0.00%,0,9
2023-03-29,无线端,sw19 3pm,0.00%,0.0,0,1,0.00%,0,8
2023-03-29,无线端,daniel truth,0.00%,0.0,0,1,0.00%,0,5
2023-03-29,无线端,昆黛尔香水,0.00%,0.0,0,1,0.00%,0,3
2023-03-30,无线端,sw19,46.67%,0.0,1,15,6.67%,0,70
2023-03-30,无线端,sw19香水,41.67%,350.0,1,12,8.33%,2,50
2023-03-30,无线端,sw19护手霜,40.00%,280.0,2,5,40.00%,2,16
2023-03-30,无线端,3pm,33.33%,0.0,0,3,0.00%,0,17
2023-03-30,无线端,sw19香水3pm,100.00%,0.0,0,2,0.00%,0,2
2023-03-30,无线端,sw19沐浴露,50.00%,0.0,0,2,0.00%,0,5
2023-03-30,无线端,sw19 midnight,0.00%,0.0,0,2,0.00%,0,28
2023-03-30,无线端,tom ford汤姆福特 桃色花蜜tf苦桃系列香水口红16 情人节限定套装,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,greed银色山泉小样,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,sw19 3pm香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,sw19海外旗舰店,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,sw19 3pm,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,kiko 香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,费蒙洛香水,100.00%,0.0,0,1,0.00%,0,1
2023-03-30,无线端,sw19身体乳,0.00%,0.0,0,1,0.00%,0,38
2023-03-30,无线端,midnight香水,0.00%,0.0,0,1,0.00%,0,19
2023-03-30,无线端,温布尔登森林,0.00%,0.0,0,1,0.00%,0,10
2023-03-30,无线端,sw19menight,0.00%,0.0,0,1,0.00%,0,5
2023-03-22,PC端,枕香喷雾,100.00%,0.0,0,1,0.00%,0,1
2023-03-24,PC端,海外旗舰店,100.00%,0.0,1,1,100.00%,0,1
