统计日期,终端类型,一级来源,二级来源,三级来源,访客数,支付买家数,支付金额,下单买家数,下单金额,下单转化率,支付转化率,客单价,UV价值
2023-03-07,无线端,平台流量,汇总,汇总,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-07,无线端,平台流量,淘内待分类,淘内待分类,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-17,无线端,平台流量,汇总,汇总,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-17,无线端,平台流量,淘内待分类,淘内待分类,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,汇总,汇总,29,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手淘搜索,手淘搜索,27,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,淘内待分类,淘内待分类,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手淘推荐,汇总,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手淘推荐,其他猜你喜欢,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手淘拍立淘,手淘拍立淘,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,订阅,订阅,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手机天猫,汇总,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手机天猫,手猫搜索,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手淘其他店铺,汇总,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,手淘其他店铺,店铺超链,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-20,无线端,平台流量,购物车,购物车,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,汇总,汇总,52,1,200.00,1,183.31,1.92%,1.92%,200.0,3.85
2023-03-21,无线端,平台流量,手淘搜索,手淘搜索,44,1,200.00,1,183.31,2.27%,2.27%,200.0,4.55
2023-03-21,无线端,平台流量,购物车,购物车,5,1,200.00,1,183.31,20.00%,20.00%,200.0,40.0
2023-03-21,无线端,平台流量,订阅,订阅,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,淘内待分类,淘内待分类,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,手淘其他店铺,汇总,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,手淘其他店铺,店铺超链,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,手淘推荐,汇总,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,手淘推荐,其他猜你喜欢,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,手机天猫,汇总,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,手机天猫,手猫搜索,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-21,无线端,平台流量,我的淘宝,我的淘宝,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,汇总,汇总,109,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手淘搜索,手淘搜索,98,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,购物车,购物车,8,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,淘内待分类,淘内待分类,6,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手淘其他店铺,汇总,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手淘其他店铺,店铺超链,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,订阅,订阅,4,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,我的淘宝,我的淘宝,4,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手淘旺信,手淘旺信,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手机天猫,汇总,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手机天猫,手猫搜索,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,手机天猫,手猫商品详情,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-22,无线端,平台流量,日常营销活动,日常营销活动,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,汇总,汇总,223,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘推荐,汇总,103,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘推荐,首页推荐-微详情,101,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘推荐,其他猜你喜欢,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘搜索,手淘搜索,86,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,购物车,购物车,23,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手机天猫,汇总,8,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手机天猫,手猫搜索,7,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手机天猫,手机浏览器访问天猫,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘淘宝直播,手淘淘宝直播,6,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘其他店铺,汇总,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘其他店铺,店铺超链,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,我的淘宝,我的淘宝,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,淘内待分类,淘内待分类,4,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,闲鱼,闲鱼,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,订阅,订阅,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘淘金币,手淘淘金币,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,手淘旺信,手淘旺信,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,芭芭农场,芭芭农场,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,平台流量,直接访问,直接访问,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-23,无线端,广告流量,汇总,汇总,71,1,170.00,1,155.82,1.41%,1.41%,170.0,2.39
2023-03-23,无线端,广告流量,效果广告,汇总,71,1,170.00,1,155.82,1.41%,1.41%,170.0,2.39
2023-03-23,无线端,广告流量,效果广告,万相台,71,1,170.00,1,155.82,1.41%,1.41%,170.0,2.39
2023-03-24,无线端,广告流量,汇总,汇总,270,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,广告流量,效果广告,汇总,270,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,广告流量,效果广告,万相台,270,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,汇总,汇总,128,0,0.00,1,339.13,0.78%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘推荐,汇总,48,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘推荐,首页推荐-微详情,43,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘推荐,购后推荐,4,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘推荐,其他猜你喜欢,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘搜索,手淘搜索,45,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,购物车,购物车,24,0,0.00,1,339.13,4.17%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘淘宝直播,手淘淘宝直播,6,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,淘内待分类,淘内待分类,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘拍立淘,手淘拍立淘,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,订阅,订阅,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,芭芭农场,芭芭农场,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘其他店铺,汇总,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘其他店铺,店铺超链,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘其他店铺,商品详情页头图推荐,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,我的淘宝,我的淘宝,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手淘旺信,手淘旺信,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,闲鱼,闲鱼,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,淘宝特价版,淘宝特价版,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手机天猫,汇总,1,0,0.00,1,339.13,100.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手机天猫,手猫其他店铺,1,0,0.00,1,339.13,100.00%,0.00%,0.0,0.0
2023-03-24,无线端,平台流量,手机天猫,手猫搜索,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,汇总,汇总,383,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘推荐,汇总,290,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘推荐,首页推荐-微详情,286,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘推荐,购后推荐,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘推荐,其他猜你喜欢,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘搜索,手淘搜索,47,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,购物车,购物车,19,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,淘内待分类,淘内待分类,15,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,我的淘宝,我的淘宝,7,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘拍立淘,手淘拍立淘,5,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,芭芭农场,芭芭农场,4,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘其他店铺,汇总,3,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘其他店铺,商品详情页头图推荐,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘其他店铺,店铺超链,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘旺信,手淘旺信,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,闲鱼,闲鱼,2,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手淘淘宝直播,手淘淘宝直播,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,订阅,订阅,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手机天猫,汇总,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,手机天猫,手猫搜索,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,平台流量,淘口令分享,淘口令分享,1,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,广告流量,汇总,汇总,379,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,广告流量,效果广告,汇总,379,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-25,无线端,广告流量,效果广告,万相台,379,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-26,无线端,广告流量,汇总,汇总,548,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
2023-03-26,无线端,广告流量,效果广告,汇总,548,0,0.00,0,0.00,0.00%,0.00%,0.0,0.0
